epoch,acc,loss,val_acc,val_loss
0,0.194200000614,2.25326632977,0.266000002623,2.02564888
1,0.341600001752,1.89130714655,0.35,1.81988220215
2,0.417999997437,1.68128133059,0.479999995232,1.63767464161
3,0.486399995685,1.51847578764,0.48599998951,1.57163686752
4,0.528399996161,1.39479656696,0.53599999547,1.4605563879
5,0.55719999671,1.31258049726,0.572000014782,1.38544895649
6,0.584800003767,1.24497504115,0.569999992847,1.42256593704
7,0.613599997759,1.14718030453,0.539999985695,1.38054339886
8,0.640199998617,1.06975503087,0.546000003815,1.54519674778
9,0.661799997091,1.00678604245,0.549999988079,1.37577404976
10,0.682000000477,0.92840703845,0.572000002861,1.32622320652
11,0.698600001335,0.887931905985,0.542000001669,1.40584015846
12,0.73,0.811667032242,0.554000008106,1.44055466652
13,0.74659999609,0.73277541399,0.53599998951,1.51529419422
14,0.773600003719,0.664928802848,0.577999997139,1.49045751095
