epoch,acc,loss,val_acc,val_loss
0,0.17259999983,2.25757609367,0.276000002027,2.09143247604
1,0.326000000536,1.9287892437,0.368000000715,1.7619987011
2,0.378200002015,1.79109179258,0.371999996901,1.75822901726
3,0.418799999952,1.69699109793,0.407999998331,1.69671988487
4,0.433399998546,1.64191142559,0.404000008106,1.6851170063
5,0.451999997497,1.5833878541,0.443999993801,1.69159486294
6,0.469399999976,1.53435260773,0.427999997139,1.6056687355
7,0.499199994206,1.47133070707,0.465999990702,1.61212775707
8,0.523199996352,1.39691353083,0.483999991417,1.56833600998
9,0.536799995899,1.34648479462,0.433999997377,1.70102100372
10,0.550399999022,1.31134908676,0.481999999285,1.60306355953
11,0.582799999714,1.22322090626,0.443999999762,1.64255919456
12,0.610799999237,1.13482757568,0.470000004768,1.69232709408
