epoch,acc,loss,val_acc,val_loss
0,0.125000000931,2.31022922993,0.170000001788,2.26188182831
1,0.217799999714,2.13253381014,0.207999998331,2.15841126442
2,0.291999998391,1.97931452274,0.324000000954,1.99356517792
3,0.34220000118,1.84660232306,0.325999999046,1.96938173771
4,0.377399998307,1.76256844521,0.362000000477,1.86850814819
5,0.38999999851,1.7246185565,0.383999997377,1.84325249195
6,0.420800001025,1.65673564196,0.357999998331,1.82787127495
7,0.436599998474,1.58785780191,0.383999997377,1.77053542137
8,0.471999995708,1.51767539501,0.381999999285,1.80382397175
9,0.487199997902,1.46900307417,0.382000005245,1.78665328026
10,0.505199996233,1.42025515318,0.380000001192,1.77022526264
11,0.518599993587,1.36547553778,0.407999998331,1.78882510662
12,0.539200000167,1.31450458288,0.393999999762,1.87119634151
13,0.572399998903,1.24380122423,0.383999997377,1.84479477406
14,0.59900000155,1.15896560192,0.393999999762,1.91723484993
