epoch,acc,loss,val_acc,val_loss
0,0.164199999273,2.2740238142,0.269999998808,2.07166471481
1,0.297000001073,1.99972852707,0.387999999523,1.88486788273
2,0.374000001252,1.82984435081,0.362000000477,1.83056776524
3,0.423799999952,1.66405922413,0.458000004292,1.64426164627
4,0.479999996424,1.54677420378,0.44999999404,1.6230861187
5,0.506599997282,1.44717000008,0.456000000238,1.55255672932
6,0.533799998164,1.35415513277,0.487999999523,1.497838974
7,0.556999998093,1.28018639803,0.489999991655,1.50178945065
8,0.57439999342,1.22299296975,0.516000008583,1.42502379417
9,0.606199995279,1.13151522636,0.49999999404,1.48869597912
10,0.606800002456,1.1387054503,0.525999999046,1.36314878464
11,0.645400000215,1.02052950263,0.508000004292,1.45780835152
12,0.661200002432,0.974793032408,0.529999995232,1.44003577232
13,0.659400000572,0.962260125875,0.509999990463,1.51115825176
14,0.700000002384,0.85343321681,0.518000000715,1.54457468987
