SET,CLASSES,ACCURACY,NORMALIZE,BATCH_SIZE,EPOCHS,# CLASSES,LEARNING RATE,WEIGHT DECAY,IMAGE SIZE
random/1015,['tailed frog' 'barn' 'ice cream' 'limousine' 'Arabian camel' 'bannister' 'pretzel' 'scorpion' 'basketball' 'torch'],50.40%,True,100,25,10,0.00100,0.00,32x32x3
random/1016,['cannon' 'acorn' 'barn' 'crane' 'mashed potato' 'pop bottle' 'plate' 'volleyball' 'beacon' 'limousine'],53.00%,False,100,25,10,0.00100,0.00,32x32x3
random/1016,['cannon' 'acorn' 'barn' 'crane' 'mashed potato' 'pop bottle' 'plate' 'volleyball' 'beacon' 'limousine'],54.60%,True,100,25,10,0.00100,0.00,32x32x3
random/1017,['scorpion' 'coral reef' 'freight car' 'police van' 'cannon' 'backpack' 'gondola' 'suspension bridge' 'hourglass' 'cougar'],58.40%,False,100,25,10,0.00100,0.00,32x32x3
random/1017,['scorpion' 'coral reef' 'freight car' 'police van' 'cannon' 'backpack' 'gondola' 'suspension bridge' 'hourglass' 'cougar'],61.40%,True,100,25,10,0.00100,0.00,32x32x3
random/1018,['butcher shop' 'sock' 'European fire salamander' 'limousine' 'steel arch bridge' 'wooden spoon' 'sunglasses' 'guinea pig' 'thatch' 'ladybug'],50.60%,False,100,25,10,0.00100,0.00,32x32x3
random/1018,['butcher shop' 'sock' 'European fire salamander' 'limousine' 'steel arch bridge' 'wooden spoon' 'sunglasses' 'guinea pig' 'thatch' 'ladybug'],54.00%,True,100,25,10,0.00100,0.00,32x32x3
random/1019,"['desk' 'birdhouse' 'guacamole' 'rugby ball' 'bullet train' ""potter's wheel"" 'confectionery' 'pomegranate' 'German shepherd' 'spiny lobster']",52.40%,False,100,25,10,0.00100,0.00,32x32x3
random/1019,"['desk' 'birdhouse' 'guacamole' 'rugby ball' 'bullet train' ""potter's wheel"" 'confectionery' 'pomegranate' 'German shepherd' 'spiny lobster']",56.80%,True,100,25,10,0.00100,0.00,32x32x3
SET,CLASSES,ACCURACY,NORMALIZE,BATCH_SIZE,EPOCHS,# CLASSES,LEARNING RATE,WEIGHT DECAY,IMAGE SIZE
random/1020,"['dam' 'orangutan' 'snorkel' 'fly' 'lawn mower' ""potter's wheel"" 'syringe' 'guacamole' 'birdhouse' 'parking meter']",45.60%,False,100,25,10,0.00100,0.00,32x32x3
random/1020,"['dam' 'orangutan' 'snorkel' 'fly' 'lawn mower' ""potter's wheel"" 'syringe' 'guacamole' 'birdhouse' 'parking meter']",50.60%,True,100,25,10,0.00100,0.00,32x32x3
random/1021,['sunglasses' 'ice cream' 'military uniform' 'bannister' 'swimming trunks' 'Christmas stocking' 'snail' 'spider web' 'volleyball' 'barn'],52.00%,False,100,25,10,0.00100,0.00,32x32x3
random/1021,['sunglasses' 'ice cream' 'military uniform' 'bannister' 'swimming trunks' 'Christmas stocking' 'snail' 'spider web' 'volleyball' 'barn'],53.80%,True,100,25,10,0.00100,0.00,32x32x3
random/1022,['parking meter' 'pole' 'lampshade' 'lesser panda' 'sports car' 'fur coat' 'bell pepper' 'beacon' 'miniskirt' 'fountain'],52.00%,False,100,25,10,0.00100,0.00,32x32x3
random/1022,['parking meter' 'pole' 'lampshade' 'lesser panda' 'sports car' 'fur coat' 'bell pepper' 'beacon' 'miniskirt' 'fountain'],54.60%,True,100,25,10,0.00100,0.00,32x32x3
random/1023,"['tractor' 'dam' 'plate' 'confectionery' ""potter's wheel"" 'sea cucumber' 'coral reef' 'bullfrog' 'bell pepper' 'viaduct']",58.80%,False,100,25,10,0.00100,0.00,32x32x3
random/1023,"['tractor' 'dam' 'plate' 'confectionery' ""potter's wheel"" 'sea cucumber' 'coral reef' 'bullfrog' 'bell pepper' 'viaduct']",59.20%,True,100,25,10,0.00100,0.00,32x32x3
random/1024,['sea slug' 'sports car' 'altar' 'pole' 'Arabian camel' 'espresso' 'cliff dwelling' 'projectile' 'drumstick' 'albatross'],53.00%,False,100,25,10,0.00100,0.00,32x32x3
