SET,CLASSES,ACCURACY,NORMALIZE,BATCH_SIZE,EPOCHS,# CLASSES,LEARNING RATE,WEIGHT DECAY,IMAGE SIZE
random/11,['picket fence' 'birdhouse' 'American lobster' 'sports car' 'nail' 'confectionery' 'snorkel' 'cougar' 'organ' 'sewing machine'],52.80%,True,100,25,10,0.00100,0.00,32x32x3
random/12,['guinea pig' 'sunglasses' 'abacus' 'dugong' 'boa constrictor' 'military uniform' 'bow tie' 'trolleybus' 'slug' 'cash machine'],49.80%,False,100,25,10,0.00100,0.00,32x32x3
random/12,['guinea pig' 'sunglasses' 'abacus' 'dugong' 'boa constrictor' 'military uniform' 'bow tie' 'trolleybus' 'slug' 'cash machine'],51.40%,True,100,25,10,0.00100,0.00,32x32x3
random/13,['turnstile' 'black stork' 'ladybug' 'sandal' 'espresso' 'scoreboard' 'mashed potato' 'goose' 'monarch' 'ox'],53.80%,False,100,25,10,0.00100,0.00,32x32x3
random/13,['turnstile' 'black stork' 'ladybug' 'sandal' 'espresso' 'scoreboard' 'mashed potato' 'goose' 'monarch' 'ox'],58.20%,True,100,25,10,0.00100,0.00,32x32x3
random/14,['fountain' 'umbrella' 'nail' 'steel arch bridge' 'barn' 'sombrero' 'kimono' 'oboe' 'bullfrog' 'fur coat'],44.80%,False,100,25,10,0.00100,0.00,32x32x3
random/14,['fountain' 'umbrella' 'nail' 'steel arch bridge' 'barn' 'sombrero' 'kimono' 'oboe' 'bullfrog' 'fur coat'],46.60%,True,100,25,10,0.00100,0.00,32x32x3
random/15,['parking meter' 'wooden spoon' 'bighorn' 'flagpole' 'altar' 'picket fence' 'snail' 'mashed potato' 'steel arch bridge' 'Chihuahua'],48.20%,False,100,25,10,0.00100,0.00,32x32x3
random/15,['parking meter' 'wooden spoon' 'bighorn' 'flagpole' 'altar' 'picket fence' 'snail' 'mashed potato' 'steel arch bridge' 'Chihuahua'],49.60%,True,100,25,10,0.00100,0.00,32x32x3
random/16,"[""potter's wheel"" 'Christmas stocking' 'pomegranate' 'stopwatch' 'volleyball' 'drumstick' 'lifeboat' 'lemon' 'Egyptian cat' 'monarch']",59.80%,False,100,25,10,0.00100,0.00,32x32x3
random/16,"[""potter's wheel"" 'Christmas stocking' 'pomegranate' 'stopwatch' 'volleyball' 'drumstick' 'lifeboat' 'lemon' 'Egyptian cat' 'monarch']",62.00%,True,100,25,10,0.00100,0.00,32x32x3
random/17,['projectile' 'fly' 'trolleybus' 'sock' 'tractor' 'Chihuahua' 'sunglasses' 'cash machine' 'broom' 'orange'],54.20%,False,100,25,10,0.00100,0.00,32x32x3
random/17,['projectile' 'fly' 'trolleybus' 'sock' 'tractor' 'Chihuahua' 'sunglasses' 'cash machine' 'broom' 'orange'],51.60%,True,100,25,10,0.00100,0.00,32x32x3
random/18,['seashore' 'brass' 'goldfish' 'guinea pig' 'sandal' 'gazelle' 'steel arch bridge' 'Persian cat' 'Yorkshire terrier' 'bathtub'],54.00%,False,100,25,10,0.00100,0.00,32x32x3
random/18,['seashore' 'brass' 'goldfish' 'guinea pig' 'sandal' 'gazelle' 'steel arch bridge' 'Persian cat' 'Yorkshire terrier' 'bathtub'],53.40%,True,100,25,10,0.00100,0.00,32x32x3
random/19,"['sombrero' ""potter's wheel"" 'suspension bridge' 'slug' 'punching bag' 'go-kart' 'sock' 'poncho' 'American alligator' 'sandal']",47.00%,False,100,25,10,0.00100,0.00,32x32x3
random/19,"['sombrero' ""potter's wheel"" 'suspension bridge' 'slug' 'punching bag' 'go-kart' 'sock' 'poncho' 'American alligator' 'sandal']",51.00%,True,100,25,10,0.00100,0.00,32x32x3
SET,CLASSES,ACCURACY,NORMALIZE,BATCH_SIZE,EPOCHS,# CLASSES,LEARNING RATE,WEIGHT DECAY,IMAGE SIZE
random/20,['lesser panda' 'cardigan' 'black stork' 'backpack' 'tarantula' 'dining table' 'king penguin' 'pizza' 'Yorkshire terrier' 'goose'],55.80%,False,100,25,10,0.00100,0.00,32x32x3
random/20,['lesser panda' 'cardigan' 'black stork' 'backpack' 'tarantula' 'dining table' 'king penguin' 'pizza' 'Yorkshire terrier' 'goose'],52.40%,True,100,25,10,0.00100,0.00,32x32x3
random/21,['sea slug' 'alp' 'plate' 'bannister' 'bell pepper' 'teddy' 'apron' 'boa constrictor' 'espresso' 'stopwatch'],52.80%,False,100,25,10,0.00100,0.00,32x32x3
random/21,['sea slug' 'alp' 'plate' 'bannister' 'bell pepper' 'teddy' 'apron' 'boa constrictor' 'espresso' 'stopwatch'],51.00%,True,100,25,10,0.00100,0.00,32x32x3
random/22,['pomegranate' 'beach wagon' 'brain coral' 'sombrero' 'turnstile' 'wooden spoon' 'plunger' 'lawn mower' 'Chihuahua' 'punching bag'],51.00%,False,100,25,10,0.00100,0.00,32x32x3
random/22,['pomegranate' 'beach wagon' 'brain coral' 'sombrero' 'turnstile' 'wooden spoon' 'plunger' 'lawn mower' 'Chihuahua' 'punching bag'],53.40%,True,100,25,10,0.00100,0.00,32x32x3
random/23,['dam' 'gazelle' 'American alligator' 'slug' 'fly' 'apron' 'plate' 'spiny lobster' 'cliff dwelling' 'candle'],55.40%,False,100,25,10,0.00100,0.00,32x32x3
random/23,['dam' 'gazelle' 'American alligator' 'slug' 'fly' 'apron' 'plate' 'spiny lobster' 'cliff dwelling' 'candle'],54.60%,True,100,25,10,0.00100,0.00,32x32x3
random/24,['albatross' 'Chihuahua' 'chest' 'wok' 'limousine' 'Christmas stocking' 'beer bottle' 'monarch' 'guacamole' 'pill bottle'],58.20%,False,100,25,10,0.00100,0.00,32x32x3
random/24,['albatross' 'Chihuahua' 'chest' 'wok' 'limousine' 'Christmas stocking' 'beer bottle' 'monarch' 'guacamole' 'pill bottle'],58.20%,True,100,25,10,0.00100,0.00,32x32x3
random/25,"['Egyptian cat' 'lakeside' 'American alligator' 'fountain' 'lesser panda' 'wooden spoon' 'bikini' ""potter's wheel"" 'orange' 'black stork']",55.60%,False,100,25,10,0.00100,0.00,32x32x3
random/25,"['Egyptian cat' 'lakeside' 'American alligator' 'fountain' 'lesser panda' 'wooden spoon' 'bikini' ""potter's wheel"" 'orange' 'black stork']",53.40%,True,100,25,10,0.00100,0.00,32x32x3
random/26,['water jug' 'European fire salamander' 'sulphur butterfly' 'standard poodle' 'swimming trunks' 'chain' 'fur coat' 'limousine' 'moving van' 'spider web'],54.00%,False,100,25,10,0.00100,0.00,32x32x3
random/26,['water jug' 'European fire salamander' 'sulphur butterfly' 'standard poodle' 'swimming trunks' 'chain' 'fur coat' 'limousine' 'moving van' 'spider web'],56.60%,True,100,25,10,0.00100,0.00,32x32x3
random/27,['bathtub' 'hog' 'hourglass' 'cash machine' 'mashed potato' 'bullet train' 'remote control' 'reel' 'refrigerator' 'broom'],44.60%,False,100,25,10,0.00100,0.00,32x32x3
random/27,['bathtub' 'hog' 'hourglass' 'cash machine' 'mashed potato' 'bullet train' 'remote control' 'reel' 'refrigerator' 'broom'],46.40%,True,100,25,10,0.00100,0.00,32x32x3
random/28,['dam' 'cash machine' 'baboon' 'abacus' 'neck brace' 'triumphal arch' 'koala' 'orangutan' 'pole' 'rugby ball'],52.80%,False,100,25,10,0.00100,0.00,32x32x3
random/28,['dam' 'cash machine' 'baboon' 'abacus' 'neck brace' 'triumphal arch' 'koala' 'orangutan' 'pole' 'rugby ball'],52.40%,True,100,25,10,0.00100,0.00,32x32x3
random/29,"['centipede' 'cougar' 'iPod' 'torch' 'mantis' 'water jug' 'dragonfly' ""potter's wheel"" 'grasshopper' 'tarantula']",45.20%,False,100,25,10,0.00100,0.00,32x32x3
random/29,"['centipede' 'cougar' 'iPod' 'torch' 'mantis' 'water jug' 'dragonfly' ""potter's wheel"" 'grasshopper' 'tarantula']",45.00%,True,100,25,10,0.00100,0.00,32x32x3
random/30,['chimpanzee' 'standard poodle' 'plunger' 'kimono' 'gasmask' 'birdhouse' 'go-kart' 'plate' 'pole' 'school bus'],47.80%,False,100,25,10,0.00100,0.00,32x32x3
random/30,['chimpanzee' 'standard poodle' 'plunger' 'kimono' 'gasmask' 'birdhouse' 'go-kart' 'plate' 'pole' 'school bus'],49.20%,True,100,25,10,0.00100,0.00,32x32x3
random/31,['lakeside' 'cockroach' 'cannon' 'slug' 'acorn' 'organ' 'cliff' 'beaker' 'torch' 'crane'],46.40%,False,100,25,10,0.00100,0.00,32x32x3
random/31,['lakeside' 'cockroach' 'cannon' 'slug' 'acorn' 'organ' 'cliff' 'beaker' 'torch' 'crane'],50.20%,True,100,25,10,0.00100,0.00,32x32x3
random/32,['African elephant' 'beaker' 'military uniform' 'comic book' 'lemon' 'poncho' 'butcher shop' 'apron' 'boa constrictor' 'sunglasses'],55.80%,False,100,25,10,0.00100,0.00,32x32x3
random/32,['African elephant' 'beaker' 'military uniform' 'comic book' 'lemon' 'poncho' 'butcher shop' 'apron' 'boa constrictor' 'sunglasses'],55.60%,True,100,25,10,0.00100,0.00,32x32x3
random/33,['cash machine' 'sports car' 'tractor' 'frying pan' 'bullfrog' 'barrel' 'magnetic compass' 'goose' 'lakeside' 'brain coral'],57.80%,False,100,25,10,0.00100,0.00,32x32x3
random/33,['cash machine' 'sports car' 'tractor' 'frying pan' 'bullfrog' 'barrel' 'magnetic compass' 'goose' 'lakeside' 'brain coral'],55.60%,True,100,25,10,0.00100,0.00,32x32x3
random/34,['magnetic compass' 'spiny lobster' 'beer bottle' 'refrigerator' 'organ' 'snorkel' 'American lobster' 'sea slug' 'drumstick' 'abacus'],48.80%,False,100,25,10,0.00100,0.00,32x32x3
random/34,['magnetic compass' 'spiny lobster' 'beer bottle' 'refrigerator' 'organ' 'snorkel' 'American lobster' 'sea slug' 'drumstick' 'abacus'],49.40%,True,100,25,10,0.00100,0.00,32x32x3
random/35,"['crane' 'sock' 'cauliflower' 'beaker' 'vestment' 'coral reef' ""potter's wheel"" 'dugong' 'sandal' 'German shepherd']",55.40%,False,100,25,10,0.00100,0.00,32x32x3
random/35,"['crane' 'sock' 'cauliflower' 'beaker' 'vestment' 'coral reef' ""potter's wheel"" 'dugong' 'sandal' 'German shepherd']",54.00%,True,100,25,10,0.00100,0.00,32x32x3
random/36,['miniskirt' 'sports car' 'refrigerator' 'bighorn' 'cash machine' 'sulphur butterfly' 'desk' 'lesser panda' 'swimming trunks' 'steel arch bridge'],57.40%,False,100,25,10,0.00100,0.00,32x32x3
random/36,['miniskirt' 'sports car' 'refrigerator' 'bighorn' 'cash machine' 'sulphur butterfly' 'desk' 'lesser panda' 'swimming trunks' 'steel arch bridge'],56.80%,True,100,25,10,0.00100,0.00,32x32x3
random/37,['syringe' 'kimono' 'basketball' 'cockroach' 'beaker' 'brown bear' 'lampshade' 'snorkel' 'ox' 'koala'],45.40%,False,100,25,10,0.00100,0.00,32x32x3
random/37,['syringe' 'kimono' 'basketball' 'cockroach' 'beaker' 'brown bear' 'lampshade' 'snorkel' 'ox' 'koala'],47.80%,True,100,25,10,0.00100,0.00,32x32x3
random/38,['umbrella' 'monarch' 'cliff' 'albatross' 'snorkel' 'jinrikisha' 'bullfrog' 'baboon' 'acorn' 'drumstick'],51.20%,False,100,25,10,0.00100,0.00,32x32x3
random/38,['umbrella' 'monarch' 'cliff' 'albatross' 'snorkel' 'jinrikisha' 'bullfrog' 'baboon' 'acorn' 'drumstick'],57.40%,True,100,25,10,0.00100,0.00,32x32x3
random/39,['rugby ball' 'broom' 'turnstile' 'grasshopper' 'volleyball' 'bison' 'flagpole' 'cliff dwelling' 'viaduct' 'cauliflower'],60.00%,False,100,25,10,0.00100,0.00,32x32x3
random/39,['rugby ball' 'broom' 'turnstile' 'grasshopper' 'volleyball' 'bison' 'flagpole' 'cliff dwelling' 'viaduct' 'cauliflower'],60.40%,True,100,25,10,0.00100,0.00,32x32x3
SET,CLASSES,ACCURACY,NORMALIZE,BATCH_SIZE,EPOCHS,# CLASSES,LEARNING RATE,WEIGHT DECAY,IMAGE SIZE
random/40,"['coral reef' 'wooden spoon' 'teddy' 'lawn mower' 'pretzel' 'Christmas stocking' ""potter's wheel"" 'lion' 'backpack' 'American alligator']",52.40%,False,100,25,10,0.00100,0.00,32x32x3
random/40,"['coral reef' 'wooden spoon' 'teddy' 'lawn mower' 'pretzel' 'Christmas stocking' ""potter's wheel"" 'lion' 'backpack' 'American alligator']",55.60%,True,100,25,10,0.00100,0.00,32x32x3
random/41,['projectile' 'vestment' 'bullfrog' 'monarch' 'nail' 'ox' 'ice lolly' 'poncho' 'rocking chair' 'syringe'],43.60%,False,100,25,10,0.00100,0.00,32x32x3
random/41,['projectile' 'vestment' 'bullfrog' 'monarch' 'nail' 'ox' 'ice lolly' 'poncho' 'rocking chair' 'syringe'],45.40%,True,100,25,10,0.00100,0.00,32x32x3
random/42,['tabby' 'fly' 'water tower' 'German shepherd' 'Yorkshire terrier' 'sewing machine' 'cliff dwelling' 'bathtub' 'refrigerator' 'binoculars'],46.20%,False,100,25,10,0.00100,0.00,32x32x3
random/42,['tabby' 'fly' 'water tower' 'German shepherd' 'Yorkshire terrier' 'sewing machine' 'cliff dwelling' 'bathtub' 'refrigerator' 'binoculars'],46.40%,True,100,25,10,0.00100,0.00,32x32x3
random/43,['barrel' 'Labrador retriever' 'bikini' 'apron' 'jinrikisha' 'rugby ball' 'iPod' 'meat loaf' 'miniskirt' 'space heater'],43.60%,False,100,25,10,0.00100,0.00,32x32x3
random/43,['barrel' 'Labrador retriever' 'bikini' 'apron' 'jinrikisha' 'rugby ball' 'iPod' 'meat loaf' 'miniskirt' 'space heater'],53.00%,True,100,25,10,0.00100,0.00,32x32x3
random/44,['remote control' 'king penguin' 'barn' 'tailed frog' 'tabby' 'volleyball' 'centipede' 'espresso' 'cardigan' 'lifeboat'],53.60%,False,100,25,10,0.00100,0.00,32x32x3
random/44,['remote control' 'king penguin' 'barn' 'tailed frog' 'tabby' 'volleyball' 'centipede' 'espresso' 'cardigan' 'lifeboat'],51.40%,True,100,25,10,0.00100,0.00,32x32x3
random/45,['Christmas stocking' 'lifeboat' 'tabby' 'sea slug' 'drumstick' 'brass' 'vestment' 'go-kart' 'poncho' 'nail'],53.40%,False,100,25,10,0.00100,0.00,32x32x3
random/45,['Christmas stocking' 'lifeboat' 'tabby' 'sea slug' 'drumstick' 'brass' 'vestment' 'go-kart' 'poncho' 'nail'],59.00%,True,100,25,10,0.00100,0.00,32x32x3
random/46,['bow tie' 'pizza' 'turnstile' 'lion' 'triumphal arch' 'cauliflower' 'snorkel' 'bullet train' 'German shepherd' 'picket fence'],58.80%,False,100,25,10,0.00100,0.00,32x32x3
random/46,['bow tie' 'pizza' 'turnstile' 'lion' 'triumphal arch' 'cauliflower' 'snorkel' 'bullet train' 'German shepherd' 'picket fence'],57.40%,True,100,25,10,0.00100,0.00,32x32x3
random/47,['standard poodle' 'American alligator' 'fly' 'black stork' 'jellyfish' 'teddy' 'gasmask' 'moving van' 'tailed frog' 'bucket'],49.60%,False,100,25,10,0.00100,0.00,32x32x3
random/47,['standard poodle' 'American alligator' 'fly' 'black stork' 'jellyfish' 'teddy' 'gasmask' 'moving van' 'tailed frog' 'bucket'],54.80%,True,100,25,10,0.00100,0.00,32x32x3
random/48,['limousine' 'butcher shop' 'tabby' 'bow tie' 'espresso' 'black widow' 'guacamole' 'turnstile' 'beaker' 'cauliflower'],60.80%,False,100,25,10,0.00100,0.00,32x32x3
random/48,['limousine' 'butcher shop' 'tabby' 'bow tie' 'espresso' 'black widow' 'guacamole' 'turnstile' 'beaker' 'cauliflower'],62.40%,True,100,25,10,0.00100,0.00,32x32x3
random/49,['go-kart' 'bullet train' 'syringe' 'broom' 'pay-phone' 'brain coral' 'beach wagon' 'ladybug' 'guacamole' 'water jug'],55.60%,False,100,25,10,0.00100,0.00,32x32x3
random/49,['go-kart' 'bullet train' 'syringe' 'broom' 'pay-phone' 'brain coral' 'beach wagon' 'ladybug' 'guacamole' 'water jug'],60.20%,True,100,25,10,0.00100,0.00,32x32x3
random/50,['goldfish' 'German shepherd' 'brain coral' 'birdhouse' 'school bus' 'refrigerator' 'barbershop' 'triumphal arch' 'obelisk' 'ladybug'],60.60%,False,100,25,10,0.00100,0.00,32x32x3
random/50,['goldfish' 'German shepherd' 'brain coral' 'birdhouse' 'school bus' 'refrigerator' 'barbershop' 'triumphal arch' 'obelisk' 'ladybug'],62.40%,True,100,25,10,0.00100,0.00,32x32x3
random/51,['brown bear' 'tabby' 'cash machine' 'baboon' 'miniskirt' 'ice cream' 'black stork' 'guinea pig' 'abacus' 'sea cucumber'],44.60%,False,100,25,10,0.00100,0.00,32x32x3
random/51,['brown bear' 'tabby' 'cash machine' 'baboon' 'miniskirt' 'ice cream' 'black stork' 'guinea pig' 'abacus' 'sea cucumber'],45.00%,True,100,25,10,0.00100,0.00,32x32x3
random/52,['academic gown' 'sandal' 'rocking chair' 'cash machine' 'hog' 'military uniform' 'pizza' 'bikini' 'obelisk' 'tractor'],52.60%,False,100,25,10,0.00100,0.00,32x32x3
random/52,['academic gown' 'sandal' 'rocking chair' 'cash machine' 'hog' 'military uniform' 'pizza' 'bikini' 'obelisk' 'tractor'],57.80%,True,100,25,10,0.00100,0.00,32x32x3
random/53,['orangutan' 'moving van' 'alp' 'comic book' 'chain' 'bullfrog' 'sombrero' 'cliff dwelling' 'African elephant' 'thatch'],54.80%,False,100,25,10,0.00100,0.00,32x32x3
random/53,['orangutan' 'moving van' 'alp' 'comic book' 'chain' 'bullfrog' 'sombrero' 'cliff dwelling' 'African elephant' 'thatch'],54.60%,True,100,25,10,0.00100,0.00,32x32x3
random/54,['bison' 'school bus' 'goldfish' 'Christmas stocking' 'albatross' 'Chihuahua' 'hog' 'comic book' 'remote control' 'steel arch bridge'],61.80%,False,100,25,10,0.00100,0.00,32x32x3
random/54,['bison' 'school bus' 'goldfish' 'Christmas stocking' 'albatross' 'Chihuahua' 'hog' 'comic book' 'remote control' 'steel arch bridge'],61.60%,True,100,25,10,0.00100,0.00,32x32x3
random/55,['poncho' 'cash machine' 'lesser panda' 'tailed frog' 'meat loaf' 'espresso' 'plate' 'bighorn' 'dumbbell' 'computer keyboard'],45.60%,False,100,25,10,0.00100,0.00,32x32x3
random/55,['poncho' 'cash machine' 'lesser panda' 'tailed frog' 'meat loaf' 'espresso' 'plate' 'bighorn' 'dumbbell' 'computer keyboard'],50.00%,True,100,25,10,0.00100,0.00,32x32x3
random/56,['syringe' 'orangutan' 'koala' 'refrigerator' 'snail' 'beach wagon' 'steel arch bridge' 'chain' 'bow tie' 'CD player'],45.00%,False,100,25,10,0.00100,0.00,32x32x3
random/56,['syringe' 'orangutan' 'koala' 'refrigerator' 'snail' 'beach wagon' 'steel arch bridge' 'chain' 'bow tie' 'CD player'],47.60%,True,100,25,10,0.00100,0.00,32x32x3
random/57,['cliff dwelling' 'lakeside' 'chimpanzee' 'brown bear' 'limousine' 'beer bottle' 'black stork' 'seashore' 'school bus' 'fur coat'],59.60%,False,100,25,10,0.00100,0.00,32x32x3
random/57,['cliff dwelling' 'lakeside' 'chimpanzee' 'brown bear' 'limousine' 'beer bottle' 'black stork' 'seashore' 'school bus' 'fur coat'],62.60%,True,100,25,10,0.00100,0.00,32x32x3
random/58,"[""potter's wheel"" 'American alligator' 'sock' 'dam' 'orange' 'magnetic compass' 'water tower' 'go-kart' 'beacon' 'gasmask']",56.40%,False,100,25,10,0.00100,0.00,32x32x3
random/58,"[""potter's wheel"" 'American alligator' 'sock' 'dam' 'orange' 'magnetic compass' 'water tower' 'go-kart' 'beacon' 'gasmask']",56.20%,True,100,25,10,0.00100,0.00,32x32x3
random/59,['syringe' 'fountain' 'orangutan' 'ox' 'tarantula' 'American alligator' 'scorpion' 'pay-phone' 'African elephant' 'desk'],44.80%,False,100,25,10,0.00100,0.00,32x32x3
random/59,['syringe' 'fountain' 'orangutan' 'ox' 'tarantula' 'American alligator' 'scorpion' 'pay-phone' 'African elephant' 'desk'],47.60%,True,100,25,10,0.00100,0.00,32x32x3
SET,CLASSES,ACCURACY,NORMALIZE,BATCH_SIZE,EPOCHS,# CLASSES,LEARNING RATE,WEIGHT DECAY,IMAGE SIZE
random/60,['sports car' 'space heater' 'thatch' 'swimming trunks' 'ox' 'hourglass' 'sulphur butterfly' 'apron' 'pill bottle' 'lakeside'],50.60%,False,100,25,10,0.00100,0.00,32x32x3
random/60,['sports car' 'space heater' 'thatch' 'swimming trunks' 'ox' 'hourglass' 'sulphur butterfly' 'apron' 'pill bottle' 'lakeside'],56.60%,True,100,25,10,0.00100,0.00,32x32x3
random/61,['Labrador retriever' 'Arabian camel' 'suspension bridge' 'baboon' 'potpie' 'brain coral' 'jellyfish' 'barrel' 'African elephant' 'beer bottle'],54.40%,False,100,25,10,0.00100,0.00,32x32x3
random/61,['Labrador retriever' 'Arabian camel' 'suspension bridge' 'baboon' 'potpie' 'brain coral' 'jellyfish' 'barrel' 'African elephant' 'beer bottle'],56.20%,True,100,25,10,0.00100,0.00,32x32x3
random/62,['scoreboard' 'tailed frog' 'sulphur butterfly' 'thatch' 'cannon' 'Egyptian cat' 'bullfrog' 'albatross' 'fountain' 'American alligator'],49.60%,False,100,25,10,0.00100,0.00,32x32x3
random/62,['scoreboard' 'tailed frog' 'sulphur butterfly' 'thatch' 'cannon' 'Egyptian cat' 'bullfrog' 'albatross' 'fountain' 'American alligator'],50.60%,True,100,25,10,0.00100,0.00,32x32x3
random/63,['ice lolly' 'bannister' 'baboon' 'scoreboard' 'chimpanzee' 'flagpole' 'beer bottle' 'bucket' 'Arabian camel' 'lion'],47.40%,False,100,25,10,0.00100,0.00,32x32x3
random/63,['ice lolly' 'bannister' 'baboon' 'scoreboard' 'chimpanzee' 'flagpole' 'beer bottle' 'bucket' 'Arabian camel' 'lion'],50.20%,True,100,25,10,0.00100,0.00,32x32x3
random/64,"['snail' 'pomegranate' ""potter's wheel"" 'lakeside' 'mashed potato' 'scoreboard' 'slug' 'Labrador retriever' 'hourglass' 'iPod']",48.80%,False,100,25,10,0.00100,0.00,32x32x3
random/64,"['snail' 'pomegranate' ""potter's wheel"" 'lakeside' 'mashed potato' 'scoreboard' 'slug' 'Labrador retriever' 'hourglass' 'iPod']",55.40%,True,100,25,10,0.00100,0.00,32x32x3
random/65,['golden retriever' 'flagpole' 'projectile' 'swimming trunks' 'tabby' 'Arabian camel' 'tractor' 'umbrella' 'cockroach' 'ice cream'],44.40%,False,100,25,10,0.00100,0.00,32x32x3
random/65,['golden retriever' 'flagpole' 'projectile' 'swimming trunks' 'tabby' 'Arabian camel' 'tractor' 'umbrella' 'cockroach' 'ice cream'],46.00%,True,100,25,10,0.00100,0.00,32x32x3
random/66,['bow tie' 'vestment' 'pay-phone' 'orange' 'lampshade' 'bikini' 'oboe' 'albatross' 'kimono' 'beer bottle'],44.00%,False,100,25,10,0.00100,0.00,32x32x3
random/66,['bow tie' 'vestment' 'pay-phone' 'orange' 'lampshade' 'bikini' 'oboe' 'albatross' 'kimono' 'beer bottle'],50.40%,True,100,25,10,0.00100,0.00,32x32x3
