SET,CLASSES,ACCURACY,NORMALIZE,BATCH_SIZE,EPOCHS,# CLASSES,LEARNING RATE,WEIGHT DECAY,IMAGE SIZE
random/0,['gasmask' 'sports car' 'viaduct' 'German shepherd' 'ladybug' 'beach wagon' 'butcher shop' 'bighorn' 'academic gown' 'orangutan'],47.00%,False,100,25,10,0.00100,0.00,32x32x3
random/0,['gasmask' 'sports car' 'viaduct' 'German shepherd' 'ladybug' 'beach wagon' 'butcher shop' 'bighorn' 'academic gown' 'orangutan'],55.20%,True,100,25,10,0.00100,0.00,32x32x3
random/1,['bison' 'syringe' 'teddy' 'crane' 'guinea pig' 'parking meter' 'snail' 'tarantula' 'fur coat' 'orangutan'],43.40%,False,100,25,10,0.00100,0.00,32x32x3
random/1,['bison' 'syringe' 'teddy' 'crane' 'guinea pig' 'parking meter' 'snail' 'tarantula' 'fur coat' 'orangutan'],45.40%,True,100,25,10,0.00100,0.00,32x32x3
random/2,['black widow' 'bullet train' 'pay-phone' 'turnstile' 'pop bottle' 'American lobster' 'scoreboard' 'wok' 'brain coral' 'plate'],58.00%,False,100,25,10,0.00100,0.00,32x32x3
random/2,['black widow' 'bullet train' 'pay-phone' 'turnstile' 'pop bottle' 'American lobster' 'scoreboard' 'wok' 'brain coral' 'plate'],59.80%,True,100,25,10,0.00100,0.00,32x32x3
random/3,['sunglasses' 'Labrador retriever' 'lampshade' 'lakeside' 'orange' 'lemon' 'swimming trunks' 'pomegranate' 'frying pan' 'monarch'],56.60%,False,100,25,10,0.00100,0.00,32x32x3
random/3,['sunglasses' 'Labrador retriever' 'lampshade' 'lakeside' 'orange' 'lemon' 'swimming trunks' 'pomegranate' 'frying pan' 'monarch'],59.20%,True,100,25,10,0.00100,0.00,32x32x3
random/4,['cannon' 'neck brace' 'walking stick' 'pole' 'police van' 'barbershop' 'academic gown' 'pizza' 'centipede' 'lion'],58.00%,False,100,25,10,0.00100,0.00,32x32x3
random/4,['cannon' 'neck brace' 'walking stick' 'pole' 'police van' 'barbershop' 'academic gown' 'pizza' 'centipede' 'lion'],58.40%,True,100,25,10,0.00100,0.00,32x32x3
random/5,['hourglass' 'poncho' 'beacon' 'koala' 'CD player' 'rugby ball' 'black widow' 'mantis' 'lemon' 'drumstick'],63.20%,False,100,25,10,0.00100,0.00,32x32x3
random/5,['hourglass' 'poncho' 'beacon' 'koala' 'CD player' 'rugby ball' 'black widow' 'mantis' 'lemon' 'drumstick'],64.00%,True,100,25,10,0.00100,0.00,32x32x3
random/6,['projectile' 'dining table' 'cliff' 'Arabian camel' 'kimono' 'suspension bridge' 'flagpole' 'trilobite' 'barn' 'teddy'],53.60%,False,100,25,10,0.00100,0.00,32x32x3
random/6,['projectile' 'dining table' 'cliff' 'Arabian camel' 'kimono' 'suspension bridge' 'flagpole' 'trilobite' 'barn' 'teddy'],52.00%,True,100,25,10,0.00100,0.00,32x32x3
random/7,['sandal' 'abacus' 'kimono' 'African elephant' 'brown bear' 'fountain' 'monarch' 'bucket' 'maypole' 'comic book'],49.60%,False,100,25,10,0.00100,0.00,32x32x3
random/7,['sandal' 'abacus' 'kimono' 'African elephant' 'brown bear' 'fountain' 'monarch' 'bucket' 'maypole' 'comic book'],48.60%,True,100,25,10,0.00100,0.00,32x32x3
random/8,['spider web' 'standard poodle' 'alp' 'king penguin' 'water jug' 'lifeboat' 'torch' 'espresso' 'bucket' 'hog'],55.40%,False,100,25,10,0.00100,0.00,32x32x3
random/8,['spider web' 'standard poodle' 'alp' 'king penguin' 'water jug' 'lifeboat' 'torch' 'espresso' 'bucket' 'hog'],54.40%,True,100,25,10,0.00100,0.00,32x32x3
random/9,['snail' 'plunger' 'sewing machine' 'cougar' 'cliff' 'gondola' 'espresso' 'kimono' 'wok' 'teddy'],49.40%,False,100,25,10,0.00100,0.00,32x32x3
random/9,['snail' 'plunger' 'sewing machine' 'cougar' 'cliff' 'gondola' 'espresso' 'kimono' 'wok' 'teddy'],49.40%,True,100,25,10,0.00100,0.00,32x32x3
random/10,['reel' 'cardigan' 'backpack' 'comic book' 'teddy' 'monarch' 'boa constrictor' 'organ' 'African elephant' 'tailed frog'],52.20%,False,100,25,10,0.00100,0.00,32x32x3
random/10,['reel' 'cardigan' 'backpack' 'comic book' 'teddy' 'monarch' 'boa constrictor' 'organ' 'African elephant' 'tailed frog'],47.60%,True,100,25,10,0.00100,0.00,32x32x3
random/11,['picket fence' 'birdhouse' 'American lobster' 'sports car' 'nail' 'confectionery' 'snorkel' 'cougar' 'organ' 'sewing machine'],51.40%,False,100,25,10,0.00100,0.00,32x32x3
